joint_rank,run_name,trainer_script,architecture_family,training_recipe,input_mode,encoder_mode,fusion_strategy,fusion_stage,architecture_summary,epochs_requested,final_epoch,early_stopped,batch_size,lr,cls_weight,selection_metric,runtime_seconds,best_epoch,best_joint,best_dice,best_iou,best_cls_acc,best_cls_f1,final_joint,final_dice,final_cls_f1,result_summary,comparison_note
1,siamese_shared_concat_absdiff_bottleneck_tuned_es100_11388227_20260408_233106,change_family_experiments.py,change_family,tuned_change_family_es100,siamese,shared,concat_absdiff,bottleneck_only,"Shared Siamese encoder with explicit change fusion by concatenating before, after, and absolute-difference features at the bottleneck only",100,40,yes,8,0.0003,2.0,joint,1634,28,0.4329,0.5913,0.5745,0.6506,0.2744,0.4244,0.5642,0.2846,"Best overall run so far; strongest joint score with top-tier segmentation and strong classification","Early stopping worked well here; this is the new architecture to beat"
2,after_only_baseline_tuned_11381201_20260408_210113,change_family_experiments.py,change_family,tuned_change_family,after_only,shared,n/a (after_only),bottleneck_only,"Post-disaster image only with a single encoder and no explicit before/after fusion; joint segmentation plus tile-level classification head",50,50,no,8,0.0003,2.0,joint,1819,43,0.4288,0.5733,0.5542,0.6442,0.2842,0.3863,0.5105,0.2621,"Highest classification F1 among the major contenders and second-best joint score overall","Shows the post-disaster image alone is surprisingly competitive, but it overtrained late without early stopping"
3,siamese_shared_concat_bottleneck_tuned_11381202_20260408_210113,change_family_experiments.py,change_family,tuned_change_family,siamese,shared,concat,bottleneck_only,"Shared Siamese encoder with simple before/after concatenation only at the bottleneck",50,50,no,8,0.0003,2.0,joint,1846,49,0.4276,0.5851,0.5653,0.6602,0.2700,0.4206,0.5647,0.2764,"Most stable of the top pre-early-stopping models and still one of the strongest overall","Very competitive despite being simpler than multiscale variants; a good stability reference"
4,siamese_separate_concat_absdiff_multiscale_tuned_11381203_20260408_210114,change_family_experiments.py,change_family,tuned_change_family,siamese,separate,concat_absdiff,multiscale,"Separate before and after encoders with concat plus absolute-difference fusion at both bottleneck and skip scales",50,50,no,8,0.0003,2.0,joint,1623,25,0.4263,0.5804,0.5593,0.6431,0.2723,0.4068,0.5300,0.2836,"Richest explicit change representation tried before early stopping; still strong on the joint metric","More complex than necessary so far; classification stayed good while segmentation degraded late"
5,siamese_shared_concat_multiscale_tuned_es100_11388226_20260408_232444,change_family_experiments.py,change_family,tuned_change_family_es100,siamese,shared,concat,multiscale,"Shared Siamese encoder with concatenation at the bottleneck and skip scales; explicit multiscale change fusion",100,28,yes,8,0.0003,2.0,joint,986,16,0.4244,0.5900,0.5771,0.6377,0.2588,0.3934,0.5153,0.2714,"Longer budget plus early stopping improved the multiscale shared model over its 20-epoch version","Still trails the best bottleneck models, so multiscale fusion is not yet paying off enough"
6,siamese_shared_concat_bottleneck_tuned_cw25_es100_11388223_20260408_232249,change_family_experiments.py,change_family,tuned_change_family_es100,siamese,shared,concat,bottleneck_only,"Shared Siamese encoder with simple bottleneck concatenation and increased classification loss weight",100,37,yes,8,0.0003,2.5,joint,1252,25,0.4243,0.5881,0.5752,0.6141,0.2604,0.4082,0.5569,0.2595,"Close to the leaders but worse than the same architecture with cls_weight=2.0","The heavier classification weighting hurt overall balance instead of improving it"
7,after_only_baseline_tuned_cw15_es100_11388210_20260408_232206,change_family_experiments.py,change_family,tuned_change_family_es100,after_only,shared,n/a (after_only),bottleneck_only,"Post-disaster image only with reduced classification weight and early stopping",100,47,yes,8,0.0003,1.5,joint,1717,35,0.4217,0.5864,0.5694,0.6088,0.2570,0.4126,0.5679,0.2573,"Improved segmentation relative to the original after-only winner but gave up too much classification strength","Lowering cls_weight moved the model away from the sweet spot"
8,siamese_shared_concat_multiscale_tuned_11324148_20260408_022353,change_family_experiments.py,change_family,tuned_change_family,siamese,shared,concat,multiscale,"Shared Siamese encoder with concatenation at the bottleneck and decoder skip scales",20,20,no,8,0.0003,2.0,joint,650,15,0.4189,0.5898,0.5770,0.5949,0.2480,0.3910,0.5122,0.2699,"Original tuned multiscale winner before the latest batch of experiments","Useful historical checkpoint, but the 100-epoch early-stopped follow-up superseded it"
9,after_only_baseline_tuned_cw25_es100_11388222_20260408_232248,change_family_experiments.py,change_family,tuned_change_family_es100,after_only,shared,n/a (after_only),bottleneck_only,"Post-disaster image only with increased classification weight and early stopping",100,53,yes,8,0.0003,2.5,joint,1931,41,0.4180,0.5783,0.5612,0.6227,0.2578,0.4049,0.5551,0.2548,"Another competitive after-only run, but still below the original cls_weight=2.0 setting","Increasing cls_weight above 2.0 did not improve the after-only recipe"
10,baseline_xview2_v2_11386952_20260408_225121,siamese_baseline_v2.py,baseline_siamese_unet,baseline_v2_tuned_50,siamese,shared,concat,multiscale,"Original shared-encoder Siamese U-Net baseline with before and after features concatenated at the bottleneck and skip levels",50,50,no,4,0.0003,1.0,joint,2608,43,0.4147,0.5793,0.5514,0.6838,0.2500,0.3824,0.5237,0.2411,"Best baseline-script result so far; longer training helped materially","Still behind the best change-family models, but it narrowed the gap"
